accelerator; pedał przyspieszenia
admission stroke; suw ssący
aftermarket; rynek wtórny
air brake; hamulec pneumatyczny
airless injection; wtrysk bezpowietrzny
all-wheel drive (AWD); napęd na wszystkie koła
alternative fuel vehicle; pojazd na paliwa alternatywne
alternator; alternator
anti-lock braking system (ABS); system zapobiegający blokowaniu kół (ABS)
antifreeze; płyn chłodniczy
articulated vehicle; pojazd przegubowy
automatic transmission; automatyczna skrzynia biegów
automotive design; projektowanie samochodowe
automotive engineering; inżynieria samochodowa
axle; oś
axle ratio; przełożenie osi
back-fire; wystrzał wsteczny
backup camera; kamera cofania
ball and socket; przegub kulowy
battery; bateria
bell housing; obudowa dzwonowa
bench seat; siedzenie kanapowe
body-in-blue; nadwozie
brake; hamulec
brake balance; balans hamulców
brake dive; zanurzenie hamulca
brake fade; zanik hamulców
brake fluid; płyn hamulcowy
brake light; światło stopu
brake pad; klocki hamulcowe
brake pedal; pedał hamulca
brake puck; klocki hamulcowe (szczególnie w hamulcach tarczowych)
brake shoe; szczęka hamulcowa
brake swept area; powierzchnia hamowania
brake rotor; tarcza hamulcowa
braking distance; droga hamowania
braking system; układ hamulcowy
breeches pipe; rura wlotowa
bucket seat; siedzenie kubełkowe
bullbar; osłona przeciwwstrząsowa
bumper; zderzak
caliper; zacisk hamulcowy
camber angle; kąt nachylenia koła
carburetor; gaźnik
carputer; komputer samochodowy
caster angle; kąt pochylenia sworznia zwrotnicy
catalytic converter; katalizator
center cap; kapsel środka koła
center console; konsola środkowa
chassis; podwozie
choke; ssanie
clearance volume; objętość przestrzeni
clocking; ustawienie wału korbowego
clockspring; sprężyna zegarowa
clutch; sprzęgło
cold cranking amp; ampery rozruchowe
cold inflation pressure; ciśnienie zimnego napompowania
combustion chamber; komora spalania
compression ratio; stopień sprężania
continuously variable transmission (CVT); bezstopniowa skrzynia biegów (CVT)
coolant; płyn chłodzący
cornering; zakręcanie
cowling; obudowa
crankcase; skrzynia korbowa
crankshaft; wał korbowy
crankshaft journal; czop wału korbowego
crankshaft throw; ramię wału korbowego
crossfiring; przeskakiwanie iskry
crossflow cylinder head; głowica cylindrów z przepływem poprzecznym
crossmember; poprzeczka
curb weight; masa własna
dashboard; deska rozdzielcza
differential; mechanizm różnicowy
dipstick; bagnet
disc brake; hamulec tarczowy
dispersant; środek dyspersyjny
displacement; pojemność skokowa
displacement factor; współczynnik pojemności skokowej
dive; zanurzenie
donut; koło zapasowe
drive axle; oś napędowa
drive shaft; wał napędowy
drive wheel; koło napędowe
drivebox; skrzynka przekładniowa
drivetrain; układ napędowy
drop arm; ramię sterujące
drum brake; hamulec bębnowy
dry clutch; suche sprzęgło
dynamometer; dynamometr
econometer; ekonometr
economizer; ekonomizer
electric vehicle; pojazd elektryczny
electronic control unit (ECU); elektroniczna jednostka sterująca (ECU)
engine block; blok silnika
engine configuration; konfiguracja silnika
exhaust manifold; kolektor wydechowy
exhaust system; układ wydechowy
fan belt; pasek wentylatora
fender; błotnik
fifth-wheel coupling; sprzęg piątego koła
firing order; kolejność zapłonu
flat engine; silnik płaski
flathead engine; silnik płaski z zaworami bocznymi
footprint; ślad
footwell; miejsce na nogi
four-stroke engine; silnik czterosuwowy
four-wheel drive (4WD); napęd na cztery koła (4WD)
frame; rama
friction clutch; sprzęgło cierne
front-wheel drive (FWD); napęd na przednie koła (FWD)
gas pedal; pedał gazu
gearbox; skrzynia biegów
gear stick; drążek zmiany biegów
glove compartment; schowek
glow plug; świeca żarowa
governor; regulator
gradeability; zdolność pokonywania wzniesień
grille; kratka
gross axle weight; całkowita masa osi
gross power; moc brutto
gross train weight; masa całkowita zespołu pojazdów
gross vehicle weight (GVW); masa całkowita pojazdu (GVW)
handbrake; hamulec ręczny
handling; prowadzenie
headlamp; reflektor
headlight; reflektor przedni
heat soak; przegrzanie
hidden headlamp; ukryty reflektor
hood; maska
horsepower (hp); konie mechaniczne (KM)
hub; piasta
hubcap; kołpak
hybrid vehicle; pojazd hybrydowy
idle port; port biegu jałowego
idle speed; prędkość biegu jałowego
idler arm; ramię jałowe
idling; praca na biegu jałowym
ignition coil; cewka zapłonowa
ignition switch; włącznik zapłonu
inline engine; silnik rzędowy
instrument panel; panel instrumentów
intake manifold; kolektor dolotowy
internal combustion engine; silnik spalinowy
jacking bracket; wspornik podnośnika
jump lead; przewód rozruchowy
jump start; awaryjne uruchomienie
kerb weight; masa własna
keyless entry; bezkluczykowy dostęp
kickdown; kickdown
kingpin; sworzeń zwrotnicy
knock rating; ocena odpornści na spalanie stukowe
knocking; spalanie stukowe
knockout axle; oś wyjmowana
leaf spring; resor piórowy
lifting axle; podnoszona oś
limited-slip differential; mechanizm różnicowy o ograniczonym poślizgu
locking differential; blokada mechanizmu różnicowego
longitudinal engine; silnik wzdłużny
lugnut; nakrętka koła
main drive belt; główny pasek napędowy
make; marka
